📡央视频道👉,#genre#
西藏卫视,http://115.192.144.21:4022/rtp/233.50.201.70:5140
陕西卫视,http://115.192.144.21:4022/rtp/233.50.201.59:5140
兵团卫视,http://115.192.144.21:4022/rtp/233.50.201.72:5140
山西卫视,http://115.192.144.21:4022/rtp/233.50.201.51:5140
宁夏卫视,http://115.192.144.21:4022/rtp/233.50.201.57:5140
广西卫视,http://115.192.144.21:4022/rtp/233.50.201.49:5140
云南卫视,http://115.192.144.21:4022/rtp/233.50.201.46:5140
吉林卫视,http://115.192.144.21:4022/rtp/233.50.201.48:5140
凤凰卫视中文,http://115.192.144.21:4022/rtp/233.50.200.191:5140
凤凰卫视资讯,http://115.192.144.21:4022/rtp/233.50.200.192:5140
广西卫视,http://124.227.201.79:8888/udp/239.81.0.107:4056
广西卫视,http://124.227.201.79:8888/udp/239.81.0.2:4056
北京卫视,http://124.227.201.79:8888/udp/239.81.0.109:4056
北京卫视,http://124.227.201.79:8888/udp/239.81.0.30:4056
天津卫视,http://124.227.201.79:8888/udp/239.81.0.113:4056
天津卫视,http://124.227.201.79:8888/udp/239.81.0.50:4056
东方卫视,http://124.227.201.79:8888/udp/239.81.0.111:4056
东方卫视,http://124.227.201.79:8888/udp/239.81.0.29:4056
重庆卫视,http://124.227.201.79:8888/udp/239.81.0.47:4056
浙江卫视,http://124.227.201.79:8888/udp/239.81.0.108:4056
浙江卫视,http://124.227.201.79:8888/udp/239.81.0.31:4056
安徽卫视,http://124.227.201.79:8888/udp/239.81.0.211:4056
安徽卫视,http://124.227.201.79:8888/udp/239.81.0.37:4056
江苏卫视,http://124.227.201.79:8888/udp/239.81.0.106:4056
江苏卫视,http://124.227.201.79:8888/udp/239.81.0.34:4056
山东卫视,http://124.227.201.79:8888/udp/239.81.0.114:4056
山东卫视,http://124.227.201.79:8888/udp/239.81.0.39:4056
山东教育卫视,http://124.227.201.79:8888/udp/239.81.0.93:4056
辽宁卫视,http://124.227.201.79:8888/udp/239.81.0.210:4056
